#Julian Date	Day	Month	Year	Hour	Minute	Second	East	North	Altitude
#[j]	[j]	[mois]	[année]	[h]	[min]	[s]	[m]	[m]	[m]
2459291.956226347	18	3	2021	10	56	57.956	2501026.435	1117429.069	384.429
2459291.956226856	18	3	2021	10	56	58.000	2501026.434	1117429.067	384.435
2459291.956227574	18	3	2021	10	56	58.062	2501026.434	1117429.067	384.433
2459291.956228303	18	3	2021	10	56	58.125	2501026.435	1117429.068	384.431
2459291.956228813	18	3	2021	10	56	58.169	2501026.435	1117429.069	384.430
2459291.956229530	18	3	2021	10	56	58.231	2501026.435	1117429.069	384.432
2459291.956230260	18	3	2021	10	56	58.294	2501026.435	1117429.068	384.430
2459291.956231301	18	3	2021	10	56	58.384	2501026.435	1117429.070	384.433
2459291.956231845	18	3	2021	10	56	58.431	2501026.434	1117429.067	384.433
2459291.956232574	18	3	2021	10	56	58.494	2501026.435	1117429.069	384.429
2459291.956233269	18	3	2021	10	56	58.554	2501026.435	1117429.070	384.427
2459291.956233986	18	3	2021	10	56	58.616	2501026.435	1117429.070	384.429
2459291.956234727	18	3	2021	10	56	58.680	2501026.435	1117429.068	384.432
2459291.956235445	18	3	2021	10	56	58.742	2501026.435	1117429.068	384.430
2459291.956236301	18	3	2021	10	56	58.816	2501026.435	1117429.069	384.431
2459291.956237019	18	3	2021	10	56	58.878	2501026.435	1117429.071	384.431
2459291.956237562	18	3	2021	10	56	58.925	2501026.435	1117429.069	384.431
2459291.956238430	18	3	2021	10	56	59.000	2501026.435	1117429.068	384.431
2459291.956239160	18	3	2021	10	56	59.063	2501026.435	1117429.068	384.428
